## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[aln.sorted.bam] OUTPUT=aln.sorted.dedup.bam METRICS_FILE=dedupMetrics.txt ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon May 27 23:10:52 CEST 2019

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Library	61251	4299079	0	61251	14869	10448	0	0.00413	883045730

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	non_optical_sets
1.0	1	4270527	4270527
2.0	1.995143	10396	10396
3.0	2.985454	26	26
4.0	3.970954	0	0
5.0	4.951669	0	0
6.0	5.92762	0	0
7.0	6.898832	0	0
8.0	7.865327	0	0
9.0	8.827128	0	0
10.0	9.784258	0	0
11.0	10.736739	0	0
12.0	11.684595	0	0
13.0	12.627847	0	0
14.0	13.566518	0	0
15.0	14.500631	0	0
16.0	15.430206	0	0
17.0	16.355267	0	0
18.0	17.275836	0	0
19.0	18.191933	0	0
20.0	19.103582	0	0
21.0	20.010803	0	0
22.0	20.913618	0	0
23.0	21.812048	0	0
24.0	22.706115	0	0
25.0	23.595839	0	0
26.0	24.481243	0	0
27.0	25.362346	0	0
28.0	26.239171	0	0
29.0	27.111737	0	0
30.0	27.980065	0	0
31.0	28.844176	0	0
32.0	29.70409	0	0
33.0	30.559828	0	0
34.0	31.41141	0	0
35.0	32.258857	0	0
36.0	33.102187	0	0
37.0	33.941422	0	0
38.0	34.776581	0	0
39.0	35.607684	0	0
40.0	36.43475	0	0
41.0	37.2578	0	0
42.0	38.076852	0	0
43.0	38.891927	0	0
44.0	39.703043	0	0
45.0	40.51022	0	0
46.0	41.313476	0	0
47.0	42.112832	0	0
48.0	42.908305	0	0
49.0	43.699915	0	0
50.0	44.487681	0	0
51.0	45.27162	0	0
52.0	46.051753	0	0
53.0	46.828096	0	0
54.0	47.600669	0	0
55.0	48.36949	0	0
56.0	49.134577	0	0
57.0	49.895948	0	0
58.0	50.653622	0	0
59.0	51.407616	0	0
60.0	52.157948	0	0
61.0	52.904635	0	0
62.0	53.647697	0	0
63.0	54.38715	0	0
64.0	55.123011	0	0
65.0	55.855299	0	0
66.0	56.58403	0	0
67.0	57.309222	0	0
68.0	58.030892	0	0
69.0	58.749057	0	0
70.0	59.463734	0	0
71.0	60.174941	0	0
72.0	60.882693	0	0
73.0	61.587008	0	0
74.0	62.287902	0	0
75.0	62.985393	0	0
76.0	63.679496	0	0
77.0	64.370228	0	0
78.0	65.057605	0	0
79.0	65.741644	0	0
80.0	66.422361	0	0
81.0	67.099771	0	0
82.0	67.773892	0	0
83.0	68.444739	0	0
84.0	69.112328	0	0
85.0	69.776675	0	0
86.0	70.437795	0	0
87.0	71.095704	0	0
88.0	71.750418	0	0
89.0	72.401953	0	0
90.0	73.050323	0	0
91.0	73.695544	0	0
92.0	74.337632	0	0
93.0	74.976601	0	0
94.0	75.612467	0	0
95.0	76.245245	0	0
96.0	76.874949	0	0
97.0	77.501596	0	0
98.0	78.125199	0	0
99.0	78.745773	0	0
100.0	79.363334	0	0

